Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,25.5,25.5625,24.8125,25.0625,755000,16.094054
2000-01-04,24.875,25.625,24.875,25.3125,715400,16.254593
2000-01-05,25.9375,27.5,25.8125,26.9375,1330000,17.298098
2000-01-06,26.6875,26.875,26.125,26.875,1210100,17.257963
2000-01-07,27.0,28.0,27.0,28.0,2816800,17.98039
2000-01-10,27.9375,28.0625,27.625,28.0,912200,17.98039
2000-01-11,28.0,28.0625,27.75,27.875,960100,17.90012
2000-01-12,27.8125,28.1875,27.8125,27.9375,618300,17.940255
2000-01-13,27.8125,28.0,27.6875,27.75,848500,17.819851
2000-01-14,27.5,27.625,27.25,27.5,712800,17.659311
2000-01-18,27.25,27.5,26.75,27.0,1032700,17.338233
2000-01-19,26.5625,27.375,26.5625,27.25,1014000,17.498772
2000-01-20,26.875,26.9375,26.6875,26.8125,787500,17.217829000000002
2000-01-21,27.0,27.5,26.875,27.4375,1016200,17.619177
2000-01-24,27.625,29.3125,27.5625,28.5,1592700,18.301468
2000-01-25,28.5,29.0625,28.5,28.875,2807400,18.542277
2000-01-26,28.9375,29.0625,28.8125,29.0,896900,18.622547
2000-01-27,28.8125,29.5625,28.6875,29.0,1649600,18.622547
2000-01-28,29.0,29.0,28.25,28.25,869500,18.140929
2000-01-31,28.3125,29.125,28.0,29.125,965200,18.702816000000002
2000-02-01,29.375,29.375,28.125,28.625,1351400,18.381738000000002
2000-02-02,28.5625,28.6875,28.375,28.5625,943300,18.341603
2000-02-03,28.5,30.0,28.5,29.5,1030100,18.943625
2000-02-04,29.4375,29.5,28.125,28.375,838100,18.221199
2000-02-07,28.125,28.375,27.875,28.375,855100,18.221199
2000-02-08,28.1875,28.1875,27.625,27.875,1400500,17.90012
2000-02-09,27.8125,28.125,27.5,28.0,1100700,17.98039
2000-02-10,27.6875,28.375,27.5,27.5,756100,17.659311
2000-02-11,27.5625,28.25,27.5625,27.75,487000,17.819851
2000-02-14,27.75,28.25,27.6875,27.9375,624800,17.940255
2000-02-15,28.0,28.125,27.875,28.0,524600,17.98039
2000-02-16,28.0625,28.5,28.0,28.375,600200,18.221199
2000-02-17,28.3125,28.4375,27.9375,28.0625,381000,18.020525
2000-02-18,28.0625,28.125,27.125,27.25,929100,17.498772
2000-02-22,27.25,27.4375,26.875,27.3125,570400,17.538907000000002
2000-02-23,27.4375,27.4375,26.625,26.6875,629800,17.137559
2000-02-24,26.125,26.125,25.0,25.3125,1181500,16.254593
2000-02-25,25.5625,25.8125,25.3125,25.75,838700,16.535536999999998
2000-02-28,25.75,26.8125,25.625,26.5,1114200,17.017155
2000-02-29,26.375,26.375,25.625,26.25,715300,16.856614999999998
2000-03-01,26.0,26.1875,25.25,25.75,683600,16.535536999999998
2000-03-02,25.375,25.75,25.375,25.625,747300,16.455267000000003
2000-03-03,25.75,26.0,25.5,25.625,591100,16.455267000000003
2000-03-06,18.375,19.625,17.5,17.9375,7939800,11.518687
2000-03-07,18.4375,18.4375,15.75,16.0,7697000,10.274508
2000-03-08,16.3125,16.3125,15.875,16.25,4156800,10.435048
2000-03-09,16.375,16.4375,15.4375,15.6875,4243400,10.073834
2000-03-10,15.6875,15.75,15.25,15.3125,3127100,9.833026
2000-03-13,15.5,16.4375,15.4375,16.3125,2262100,10.475182
2000-03-14,16.3125,16.375,15.375,15.5625,1930600,9.993565
2000-03-15,15.625,15.625,15.375,15.4375,4160000,9.913295
2000-03-16,15.5,16.625,15.375,16.625,3011500,10.675856
2000-03-17,16.875,16.875,16.375,16.5,1714200,10.595587
2000-03-20,16.5,16.75,16.0625,16.375,2209900,10.515317
2000-03-21,16.375,16.375,15.5,15.75,4099000,10.113969
2000-03-22,15.8125,15.875,15.5625,15.6875,1459000,10.073834
2000-03-23,15.875,16.1875,15.75,16.125,2910700,10.354778
2000-03-24,16.0,16.0625,15.75,16.0,5091500,10.274508
2000-03-27,16.0625,16.5625,15.9375,16.25,1886300,10.435048
2000-03-28,16.3125,16.4375,15.9375,15.9375,975100,10.234374
2000-03-29,16.0625,16.5625,16.0625,16.5,2507700,10.595587
2000-03-30,16.5625,16.6875,16.375,16.625,1006900,10.675856
2000-03-31,16.5625,16.6875,16.5,16.5625,1433900,10.635722
2000-04-03,16.375,16.9375,16.3125,16.875,2032100,11.022742
2000-04-04,16.9375,17.5,16.625,16.75,1911900,10.941092999999999
2000-04-05,16.75,17.25,16.6875,16.8125,1954400,10.981917
2000-04-06,17.0625,17.125,16.8125,17.0625,857000,11.145217
2000-04-07,16.8125,16.9375,16.75,16.8125,441100,10.981917
2000-04-10,16.625,17.1875,16.625,16.9375,1015400,11.063566999999999
2000-04-11,16.9375,17.125,16.875,16.9375,1243100,11.063566999999999
2000-04-12,17.1875,17.3125,17.0625,17.125,1546900,11.186042
2000-04-13,17.0625,17.5625,17.0,17.4375,1505800,11.390167
2000-04-14,17.5,17.625,16.9375,17.0625,2005400,11.145217
2000-04-17,17.1875,18.125,17.125,18.0,2643200,11.757592
2000-04-18,18.0,18.125,17.5625,18.125,1891100,11.839242
2000-04-19,17.875,18.125,17.75,17.8125,2039400,11.635117
2000-04-20,17.875,18.0,17.8125,17.9375,912100,11.716766999999999
2000-04-24,18.0,18.875,17.9375,18.875,987900,12.329142
2000-04-25,18.625,19.125,18.25,19.0,1603300,12.410792
2000-04-26,19.0,19.4375,18.9375,19.375,1141600,12.655741
2000-04-27,19.3125,19.3125,18.875,19.25,889700,12.574091000000001
2000-04-28,19.0625,19.125,18.75,19.0625,1322200,12.451616
2000-05-01,18.8125,19.625,18.8125,19.3125,1840100,12.614916000000001
2000-05-02,19.1875,19.4375,18.8125,18.9375,1642600,12.369966999999999
2000-05-03,18.75,19.25,18.625,19.0625,1507900,12.451616
2000-05-04,19.0625,19.5625,18.875,19.3125,947900,12.614916000000001
2000-05-05,19.25,20.0,19.0625,19.375,903100,12.655741
2000-05-08,19.1875,20.0625,19.1875,19.5,857100,12.737391
2000-05-09,19.5625,19.625,19.1875,19.4375,1659100,12.696566
2000-05-10,19.1875,19.5625,19.1875,19.375,1094900,12.655741
2000-05-11,19.3125,19.875,19.3125,19.75,1003000,12.900691
2000-05-12,19.6875,19.875,19.5625,19.75,1392600,12.900691
2000-05-15,19.75,20.1875,19.6875,20.0,448700,13.063991
2000-05-16,19.75,20.0,19.4375,19.8125,846500,12.941516
2000-05-17,19.5625,19.8125,19.5,19.625,1201600,12.819041
2000-05-18,19.75,20.4375,19.6875,20.375,851400,13.308941
2000-05-19,20.0,20.5,20.0,20.25,926400,13.227291000000001
2000-05-22,20.1875,20.6875,20.1875,20.5,1258800,13.390591
2000-05-23,20.8125,20.8125,20.3125,20.625,1070700,13.472241
2000-05-24,20.625,21.0,20.4375,20.6875,1351000,13.513066
2000-05-25,20.625,20.6875,20.3437,20.625,940500,13.472241
2000-05-26,20.75,21.125,20.75,20.8125,2283900,13.594716
2000-05-30,20.875,21.0625,20.4375,21.0625,1023800,13.758016
