Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,7.0625,7.4375,6.9375,7.0,240000,4.867632
2000-01-04,6.75,6.875,6.625,6.875,393600,4.78071
2000-01-05,6.875,6.875,6.6875,6.8125,138500,4.737248999999999
2000-01-06,6.9375,6.9375,6.75,6.9375,184900,4.824171
2000-01-07,7.0,7.0,6.625,6.625,1886200,4.606866
2000-01-10,6.75,7.1875,6.6875,7.0625,519900,4.911093
2000-01-11,7.0625,7.0625,6.8125,6.875,153700,4.78071
2000-01-12,6.8125,6.8125,6.6875,6.8125,1544900,4.737248999999999
2000-01-13,6.8125,7.0,6.4375,6.6875,823100,4.650327
2000-01-14,6.75,6.75,6.5,6.5,462600,4.519944000000001
2000-01-18,6.5625,6.75,6.5625,6.75,732400,4.693788
2000-01-19,6.625,6.75,6.5625,6.6875,337500,4.650327
2000-01-20,6.625,6.6875,6.5625,6.6875,313700,4.650327
2000-01-21,6.625,6.75,6.5,6.5625,589900,4.563405
2000-01-24,6.5,6.5,6.375,6.375,483900,4.433022
2000-01-25,6.5,7.0,6.4375,6.5,4488000,4.519944000000001
2000-01-26,6.5,6.75,6.4375,6.4375,735700,4.476483
2000-01-27,6.4375,6.5625,6.4375,6.4375,1071200,4.476483
2000-01-28,6.4375,6.4375,5.875,5.9375,2029500,4.128794999999999
2000-01-31,5.9375,6.0,5.625,6.0,1365100,4.172256
2000-02-01,6.0625,6.4375,6.0625,6.375,377700,4.433022
2000-02-02,6.25,6.4375,6.0625,6.4375,879500,4.476483
2000-02-03,6.5,6.5625,6.0625,6.0625,540600,4.215717
2000-02-04,6.125,6.25,5.9375,6.1875,1520000,4.302639
2000-02-07,6.0625,6.25,6.0625,6.125,226800,4.2591779999999995
2000-02-08,6.25,6.375,5.875,6.0625,904700,4.215717
2000-02-09,5.875,5.9375,5.5625,5.6875,1506600,3.9549510000000003
2000-02-10,5.6875,5.8125,5.1875,5.75,1204100,3.998412
2000-02-11,5.75,6.25,5.625,6.0625,445900,4.215717
