Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,57.5,57.625,54.875,55.0,594000,6.46488
2000-01-04,54.8125,54.9375,54.125,54.3125,301200,6.384069
2000-01-05,54.3125,55.875,54.3125,55.3125,576800,6.501613
2000-01-06,54.875,55.75,54.8125,55.25,886800,6.4942660000000005
2000-01-07,55.25,56.5,54.875,55.1875,1200400,6.48692
2000-01-10,56.25,57.75,55.9375,57.25,744000,6.729353
2000-01-11,57.125,59.0,56.125,57.8125,987200,6.795471000000001
2000-01-12,57.875,59.75,57.875,59.0,1868000,6.935053999999999
2000-01-13,59.125,60.5,59.125,59.5,1373600,6.993825
2000-01-14,59.75,60.0,59.0,59.625,1086400,7.008518
2000-01-18,59.8125,59.875,58.5,58.6875,708400,6.898321000000001
2000-01-19,58.625,58.625,56.875,57.0,1177600,6.699967
2000-01-20,57.125,57.125,55.3125,55.5625,700800,6.5309989999999996
2000-01-21,55.6875,55.875,54.625,55.1875,787200,6.48692
2000-01-24,56.125,57.0,54.0,54.75,1271600,6.4354949999999995
2000-01-25,54.625,55.75,52.75,53.25,699200,6.259180000000001
2000-01-26,53.25,55.0,53.0,54.75,812000,6.4354949999999995
2000-01-27,54.625,56.125,54.5,55.25,398400,6.4942660000000005
2000-01-28,55.25,55.25,53.4375,53.625,323600,6.3032580000000005
2000-01-31,53.875,54.5,53.625,53.75,457200,6.317951
2000-02-01,53.75,54.375,53.5625,53.9375,667600,6.339991
2000-02-02,53.75,54.0,53.4375,53.5625,484400,6.295912
2000-02-03,53.6875,54.125,53.25,53.75,518800,6.317951
2000-02-04,53.6875,53.6875,52.375,52.5625,375200,6.178369
2000-02-07,52.75,53.25,52.125,52.625,1053200,6.185715
2000-02-08,52.625,53.5,51.5625,51.875,688000,6.097558
2000-02-09,51.625,52.4375,50.25,50.625,556000,5.950629
2000-02-10,50.0,50.625,49.5,50.0625,546000,5.88451
2000-02-11,50.3125,50.5,49.25,49.25,364800,5.789007
2000-02-14,49.25,49.875,48.5625,49.8125,396400,5.855125
2000-02-15,49.8125,51.625,49.625,51.0,675600,5.994707
2000-02-16,51.0,51.4375,49.6875,50.0,560800,5.877164
2000-02-17,49.75,50.75,49.0625,50.6875,562000,5.957975
2000-02-18,50.4375,50.4375,48.625,49.1875,606400,5.78166
2000-02-22,48.875,49.75,48.75,49.75,280800,5.847778
2000-02-23,49.75,49.75,47.375,48.1875,646400,5.664117
2000-02-24,48.3125,48.625,47.875,48.5,840000,5.700849
2000-02-25,48.5,48.625,46.375,46.6875,734800,5.487801999999999
2000-02-28,46.6875,47.875,46.125,47.0,806000,5.524534
2000-02-29,47.125,48.3125,47.0,48.3125,598000,5.6788099999999995
2000-03-01,49.0,49.75,47.75,48.625,863600,5.715542
2000-03-02,48.625,49.125,48.0625,48.1875,514400,5.664117
2000-03-03,48.25,50.125,47.625,49.25,452400,5.789007
