Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,59.609299,60.375,54.0,60.25,5070600,28.258262
2000-01-04,57.125,62.125,56.6875,60.875,6766400,28.551396999999998
2000-01-05,61.9375,79.9375,61.5,78.4375,22553000,36.788503999999996
2000-01-06,73.4375,75.9375,70.0,70.0,8734000,32.831175
2000-01-07,69.625,74.75,63.6875,73.5625,8537800,34.502047999999995
2000-01-10,75.0,90.0,73.25,85.125,8397400,39.925053999999996
2000-01-11,82.9375,84.375,79.25,82.375,5694200,38.635258
2000-01-12,81.75,81.8125,66.375,71.125,8344000,33.358819
2000-01-13,73.625,81.75,73.3125,80.0,7782200,37.521343
2000-01-14,82.8125,85.875,77.625,81.375,5880800,38.166241
2000-01-18,81.3125,81.3125,75.5,76.75,3520400,35.997039
2000-01-19,77.0,78.125,73.9375,74.5,3553600,34.941751000000004
2000-01-20,75.5,78.3125,74.0,76.375,4420800,35.821157
2000-01-21,79.0,79.25,74.125,75.625,6374400,35.469395
2000-01-24,75.5625,75.625,67.375,67.5625,4457400,31.687946999999998
2000-01-25,70.0,72.25,68.125,70.3125,5063400,32.977743
2000-01-26,71.25,73.0,65.5625,65.75,2935600,30.837853999999997
2000-01-27,67.0625,70.9375,60.4375,64.0,6132200,30.017075
2000-01-28,63.0625,65.375,56.625,57.75,7144600,27.085720000000002
2000-01-31,56.875,61.0625,55.5,60.3125,6092400,28.287575
2000-02-01,62.1875,64.875,59.25,64.8125,4481400,30.398151000000002
2000-02-02,65.6875,71.0,65.5,67.875,6300200,31.834515000000003
2000-02-03,69.1875,70.3125,65.5,69.625,5153000,32.655294
2000-02-04,70.984299,72.25,68.25,69.25,3843000,32.479413
2000-02-07,69.375,69.375,66.8125,67.5625,2878800,31.687946999999998
2000-02-08,69.9375,72.0,68.625,69.0,4420200,32.362159000000005
2000-02-09,69.3125,70.296799,64.9375,65.25,5163000,30.603346000000002
2000-02-10,64.375,64.6875,61.0,63.75,6262200,29.899820000000002
2000-02-11,63.0625,63.875,59.875,61.0,5457800,28.610024
2000-02-14,61.375,61.375,59.0,59.75,3166200,28.023753000000003
2000-02-15,59.375,61.0,55.0,57.4375,8945000,26.939152000000004
2000-02-16,59.0,63.0,58.25,61.0625,7932800,28.639338000000002
2000-02-17,63.1875,64.625,62.0,64.3125,4530400,30.163642
2000-02-18,65.75,65.75,59.875,61.1875,4089000,28.697965000000003
2000-02-22,60.625,62.625,59.75,62.125,4723600,29.137667999999998
2000-02-23,61.6875,68.0625,61.625,67.5625,7542400,31.687946999999998
2000-02-24,68.625,72.75,68.0,72.3125,10621000,33.915777
2000-02-25,63.0,63.5,57.0,58.5625,42818200,27.466796000000002
2000-02-28,58.5625,59.5,52.6875,53.6875,11239600,25.180339
2000-02-29,54.75,54.875,51.25,52.5,10886000,24.623381
2000-03-01,52.625,53.875,47.75,48.25,15564800,22.63006
2000-03-02,48.6875,49.625,45.5,46.5625,10233800,21.838594
2000-03-03,51.25,55.0,49.5312,52.875,11739400,24.799263
2000-03-06,55.5,57.25,53.8125,55.0625,9520600,25.825236999999998
2000-03-07,56.375,56.75,50.5,51.6875,6480400,24.242304999999998
2000-03-08,53.5,53.875,50.75,51.375,5495400,24.095738
2000-03-09,50.5,56.375,50.0,56.25,10622800,26.382194000000002
2000-03-10,55.25,59.625,54.9375,58.4375,9411800,27.408169
2000-03-13,57.3125,57.4375,53.4375,53.5,6526800,25.092398
2000-03-14,55.25,56.0,51.0,51.0625,4877600,23.949170000000002
2000-03-15,53.0,53.0,48.8125,50.0625,6086000,23.480153
2000-03-16,51.75,53.015598,46.25,51.9375,10410800,24.359560000000002
2000-03-17,53.75,55.0,52.5,54.5,10756200,25.561415
2000-03-20,54.375,54.875,50.0,51.0,4196800,23.919856
2000-03-21,51.0,53.0625,48.25,52.9375,4976000,24.828576
