Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,60.5,64.8125,60.375,63.875,6250200,22.477701
2000-01-04,63.625,63.6875,60.5,61.0,2799600,21.465984
2000-01-05,61.0,62.25,60.0625,61.75,2350800,21.72991
2000-01-06,60.875,61.75,60.5,61.3125,2038800,21.575953
2000-01-07,62.375,65.375,62.25,65.25,3213800,22.961565
2000-01-10,65.375,66.625,65.3125,66.5,1856800,23.401442000000003
2000-01-11,66.4375,67.6875,65.1875,65.8125,1698200,23.15951
2000-01-12,65.8125,66.375,64.8125,65.0,1353000,22.87359
2000-01-13,65.0,69.0,65.0,68.3125,2671600,24.039263000000002
2000-01-14,68.5625,68.6875,67.3125,67.5,1230200,23.753343
2000-01-18,66.25,66.4375,64.5,64.5625,1415200,22.719632999999998
2000-01-19,64.125,64.875,63.5,64.375,1249200,22.653651
2000-01-20,65.0,65.125,62.5,62.9375,884600,22.147793
2000-01-21,64.25,64.375,62.125,62.4375,2320800,21.971843
2000-01-24,62.75,62.75,61.0,61.3125,1092000,21.575953
2000-01-25,61.3125,61.375,58.5625,59.625,2350800,20.982120000000002
2000-01-26,59.875,60.375,58.625,60.3125,1829200,21.224052
2000-01-27,60.375,61.5625,59.5,59.75,1382000,21.026107999999997
2000-01-28,59.5,59.75,57.5,57.5,1109200,20.234329000000002
2000-01-31,58.0,59.625,56.9375,58.5,1644000,20.586231
2000-02-01,58.75,59.6875,58.3125,59.3125,1235800,20.872151000000002
2000-02-02,59.3125,59.9375,58.6875,59.3125,1505400,20.872151000000002
2000-02-03,60.0,61.75,59.5625,60.375,1542600,21.246046
2000-02-04,60.625,60.625,59.9375,60.3125,1257200,21.224052
2000-02-07,60.1875,60.875,60.0625,60.5625,1020400,21.312027
2000-02-08,60.8125,61.3125,59.4375,59.6875,1516200,21.004114
2000-02-09,59.625,59.875,59.1875,59.25,1234400,20.850157
2000-02-10,59.4375,59.625,56.0,57.0,1108200,20.058379000000002
2000-02-11,57.25,57.25,54.75,55.6875,1299200,19.596508
2000-02-14,55.6875,55.875,54.25,54.6875,1680400,19.244607000000002
2000-02-15,54.625,59.6875,54.5,58.5,1787400,20.586231
2000-02-16,58.4375,59.625,56.6875,57.8125,1355800,20.344299
2000-02-17,57.8125,58.3125,57.375,57.5625,1224600,20.256323000000002
2000-02-18,56.0,58.25,56.0,56.3125,1978000,19.816447
2000-02-22,57.375,58.3125,56.0625,57.875,1065200,20.366292
2000-02-23,56.75,59.5625,56.5,59.25,1305400,20.850157
2000-02-24,58.0,58.0625,54.6875,56.5625,1966200,19.904422
2000-02-25,56.0,56.0,51.875,52.75,2002600,18.562798
2000-02-28,51.125,52.9375,51.125,52.25,2485600,18.386847
2000-02-29,52.25,52.75,51.0625,51.6875,2145000,18.188903
2000-03-01,51.9375,53.5,51.625,53.0,1582400,18.650773
2000-03-02,53.0,53.4375,52.375,53.0,1181200,18.650773
2000-03-03,53.0,56.0,53.0,55.125,1019600,19.398564
2000-03-06,55.875,56.375,53.1875,53.9375,1176200,18.980681
2000-03-07,53.9375,54.4375,52.125,52.5,1689200,18.474823
2000-03-08,52.6875,54.8125,52.5,54.0625,1656200,19.024668
2000-03-09,53.8125,54.9375,53.5,54.875,1481600,19.310588
2000-03-10,54.625,54.875,53.5625,54.375,1005800,19.134638
2000-03-13,53.0,54.5,52.0,54.1875,1565600,19.068656
2000-03-14,54.3125,54.9375,53.625,54.0,1161000,19.002675
2000-03-15,54.25,59.25,53.875,58.5,2499200,20.586231
2000-03-16,58.6875,64.75,58.3125,64.375,2386200,22.653651
2000-03-17,64.375,65.625,63.0,64.8125,2389800,22.807608
2000-03-20,64.5625,64.625,62.0625,62.25,1743400,21.905860999999998
2000-03-21,62.3125,62.5625,60.625,62.0625,1084600,21.839879999999997
2000-03-22,62.0,62.1875,60.75,61.1875,1086600,21.531966
2000-03-23,61.0,61.0625,58.5625,60.25,1639000,21.202057999999997
2000-03-24,60.25,60.75,58.625,59.5625,1993200,20.960126000000002
