Date,Open,High,Low,Close,Volume,Adj Close
2003-12-02,19.0,19.25,19.0,19.25,160000,8.726296000000001
2003-12-03,19.5,19.5,19.5,19.5,300000,8.839625
2003-12-04,20.25,20.25,20.25,20.25,50000,9.17961
2003-12-05,20.25,20.25,20.25,20.25,0,9.17961
2003-12-08,21.0,21.799999,21.0,21.799999,954000,9.882247
2003-12-09,21.799999,22.75,21.799999,22.129998999999998,3014200,10.031841
2003-12-10,22.25,23.0,22.25,22.5,2994600,10.199567
2003-12-11,22.75,23.0,22.629998999999998,22.9,2203200,10.380892999999999
2003-12-12,23.0,23.049999,22.92,22.950001,709000,10.403559
2003-12-15,22.9,22.9,22.4,22.4,1287000,10.154236000000001
2003-12-16,22.35,22.35,21.799999,21.950001,885600,9.950244999999999
2003-12-17,21.9,21.9,21.4,21.450001,1150800,9.723588000000001
2003-12-18,21.450001,21.549999,21.450001,21.549999,2425200,9.768918
2003-12-19,21.549999,21.799999,21.549999,21.799999,1421800,9.882247
2003-12-22,21.65,21.799999,21.65,21.65,5200,9.81425
2003-12-23,21.700001,21.85,21.700001,21.799999,133800,9.882247
2003-12-24,21.799999,21.85,21.799999,21.85,20200,9.904913
2003-12-26,21.85,21.85,21.85,21.85,1000,9.904913
2003-12-29,21.799999,21.799999,21.799999,21.799999,1200,9.882247
2003-12-30,21.85,21.9,21.85,21.9,31600,9.927579
2003-12-31,21.9,22.0,21.9,21.9,14200,9.927579
2004-01-02,22.0,22.450001,21.950001,22.450001,557600,10.176902
2004-01-05,22.450001,22.5,22.299999,22.4,136000,10.154236000000001
2004-01-06,22.4,22.5,22.389999,22.450001,160600,10.176902
2004-01-07,22.4,22.4,22.0,22.25,283400,10.086238999999999
2004-01-08,22.35,22.35,22.200001,22.26,385200,10.090772
2004-01-09,22.299999,22.299999,21.15,21.15,3456200,9.587593
2004-01-12,21.25,21.25,21.200001,21.200001,17800,9.610259
2004-01-13,21.25,21.35,20.959999,21.0,1069600,9.519596
2004-01-14,21.049999,21.1,21.0,21.0,208600,9.519596
2004-01-15,21.0,21.0,20.75,20.85,54200,9.451599
2004-01-16,20.75,20.9,20.75,20.799999,493800,9.428933
2004-01-20,21.0,21.049999,20.969998999999998,21.0,856600,9.519596
2004-01-21,21.049999,21.15,21.0,21.0,969600,9.519596
2004-01-22,21.1,21.6,21.1,21.5,863600,9.746253
2004-01-23,21.5,21.5,21.1,21.200001,748400,9.610259
2004-01-26,21.200001,21.200001,20.85,20.85,291600,9.451599
2004-01-27,20.85,20.85,20.700001,20.73,994600,9.397200999999999
2004-01-28,20.75,20.75,20.450001,20.5,100000,9.292939
2004-01-29,20.5,20.5,19.75,20.0,1169000,9.066282000000001
2004-01-30,20.0,20.25,20.0,20.0,341200,9.066282000000001
2004-02-02,20.0,20.35,20.0,20.15,80800,9.134279
2004-02-03,20.0,20.309998999999998,20.0,20.299999,1379200,9.202276
2004-02-04,20.25,20.299999,20.25,20.25,575200,9.17961
2004-02-05,20.27,20.27,20.02,20.049999,649000,9.088947000000001
2004-02-06,20.15,20.15,20.0,20.049999,486600,9.088947000000001
2004-02-09,20.049999,20.049999,20.0,20.0,607400,9.066282000000001
2004-02-10,20.0,20.1,20.0,20.030001000000002,544600,9.079882000000001
2004-02-11,20.08,20.08,20.0,20.0,1015600,9.066282000000001
2004-02-12,20.02,20.049999,20.0,20.0,188600,9.066282000000001
2004-02-13,20.02,20.040001,20.0,20.040001,927400,9.084415
