Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,43.125,43.125,40.75,42.25,486400,9.305613000000001
2000-01-04,41.375,42.25,39.0,40.125,978000,8.83758
2000-01-05,40.0,46.5,39.125,44.75,1167200,9.856241
2000-01-06,44.75,46.0,43.75,44.625,853600,9.828710000000001
2000-01-07,44.5,45.4375,43.8125,45.25,968800,9.966367
2000-01-10,45.75,46.25,44.0,45.7187,478400,10.069599
2000-01-11,45.0,46.0,45.0,45.375,212000,9.993898
2000-01-12,45.375,45.5,44.25,44.5,255600,9.801179
2000-01-13,44.375,48.25,44.375,48.0,1343200,10.572058
2000-01-14,48.0,48.0,46.625,46.75,554000,10.296744
2000-01-18,46.5312,47.0,44.75,47.0,346800,10.351807
2000-01-19,46.625,46.875,46.3125,46.5,456000,10.241681
2000-01-20,46.2812,46.625,45.25,46.0,416800,10.131555
2000-01-21,46.3125,48.0,45.875,46.8125,524400,10.310509
2000-01-24,46.875,47.5,45.8125,45.8125,626800,10.090258
2000-01-25,46.5,46.875,45.75,46.875,391600,10.324275
2000-01-26,46.9375,47.359299,45.75,46.125,611600,10.159087
2000-01-27,46.125,46.5625,45.75,46.3125,632400,10.200384
2000-01-28,46.0625,46.6875,44.015598,44.0625,344400,9.704819
2000-01-31,44.125,46.0,43.0,43.5625,534400,9.594693
2000-02-01,44.0,44.0,42.375,42.6875,716400,9.401973
2000-02-02,43.0,46.75,42.0,44.125,728800,9.718584
2000-02-03,43.875,46.75,43.875,46.4375,341200,10.227915
2000-02-04,46.5,46.5,44.390598,44.6875,310000,9.842476
2000-02-07,45.125,45.125,42.75,43.0,410800,9.470802
2000-02-08,43.0,43.9375,40.125,40.75,958800,8.975237
2000-02-09,41.0,42.375,39.9375,39.9375,856000,8.796282000000001
2000-02-10,41.125,41.25,38.5,40.0625,994400,8.823814
2000-02-11,40.1875,40.1875,38.25,38.6875,414400,8.520968
2000-02-14,38.75,40.4375,37.75,39.0,500000,8.589797
2000-02-15,38.75,39.625,38.375,38.6875,762000,8.520968
2000-02-16,39.25,39.25,36.75,36.875,342800,8.121763
2000-02-17,37.1875,37.5625,34.3125,35.5625,908800,7.832683
2000-02-18,34.5625,36.125,34.25,35.0,822400,7.708792
2000-02-22,35.0,35.5,32.5,32.875,1154000,7.2407580000000005
2000-02-23,33.5625,37.0,33.125,36.6875,1299600,8.080466
2000-02-24,37.5625,39.25,36.5625,39.125,724000,8.617328
2000-02-25,38.625,38.625,35.0625,35.75,1584000,7.87398
2000-02-28,36.0625,36.125,35.6875,35.875,500000,7.901511999999999
2000-02-29,36.0,36.25,35.8125,36.0312,1777200,7.935915
2000-03-01,36.0625,36.0625,34.0,34.7812,2492000,7.660601
2000-03-02,34.5,36.125,34.5,35.0,1024400,7.708792
2000-03-03,35.5,36.125,35.125,35.9062,1224000,7.908384
2000-03-06,36.0,36.0,35.0,35.0,1560000,7.708792
2000-03-07,35.875,35.875,34.0,34.375,635200,7.571135000000001
2000-03-08,34.375,34.625,33.5,33.75,574000,7.433478
2000-03-09,34.5,34.5,33.0,34.375,799200,7.571135000000001
2000-03-10,34.5,35.75,33.875,33.875,500800,7.461009
2000-03-13,35.25,36.25,33.75,35.5,688400,7.818917999999999
2000-03-14,35.7187,36.625,35.0,35.375,578800,7.791386
2000-03-15,35.6875,37.25,34.875,37.25,985200,8.204357
2000-03-16,36.5625,38.875,36.5625,38.8125,1447200,8.5485
2000-03-17,37.875,39.125,37.6875,38.4687,846800,8.472778
2000-03-20,38.7812,39.125,37.875,37.875,285200,8.342014
2000-03-21,38.9375,39.125,37.4375,39.125,422000,8.617328
2000-03-22,38.875,39.125,38.0,38.9375,768800,8.576031
2000-03-23,39.0625,39.125,38.0,38.875,456400,8.562266000000001
