Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,26.625,26.75,25.75,26.125,887000,16.638664000000002
2000-01-04,26.125,26.625,25.9375,25.9375,877700,16.519248
2000-01-05,25.625,26.3125,25.5,26.25,970500,16.718275
2000-01-06,26.25,26.5625,25.875,26.375,1218100,16.797886
2000-01-07,26.625,28.375,26.5,27.9375,1549500,17.793021
2000-01-10,28.3125,28.5,27.5625,27.625,794200,17.593994
2000-01-11,27.5625,27.875,27.1875,27.5625,790700,17.554188
2000-01-12,27.5625,27.625,26.3125,26.5,1326800,16.877496
2000-01-13,26.5625,26.6875,26.0,26.1875,1042500,16.678469
2000-01-14,25.9375,26.0625,25.1875,25.375,1100800,16.160999
2000-01-18,23.0,23.0,18.8125,19.0,8621000,12.100846
2000-01-19,19.0,19.75,18.875,19.6875,8641600,12.538706
2000-01-20,19.9375,20.1875,18.4375,18.75,6643600,11.941625
2000-01-21,19.0,19.625,18.625,19.625,5781400,12.498901
2000-01-24,19.9375,20.125,18.1875,18.3125,4579600,11.662987
2000-01-25,19.5,20.25,18.75,20.0,3517200,12.737733
2000-01-26,20.5,21.9375,20.3125,21.5,3084700,13.693063
2000-01-27,22.0,23.375,21.9375,23.0625,3148500,14.688199
2000-01-28,23.125,24.5625,22.75,24.0625,1733500,15.325085000000001
2000-01-31,24.125,24.125,22.1875,22.8125,2113800,14.528977
2000-02-01,22.75,22.75,21.4375,21.9375,1889700,13.971701000000001
2000-02-02,21.9375,22.5625,21.5,22.5,862600,14.32995
2000-02-03,22.375,22.4375,21.4375,22.1875,1382600,14.130923000000001
2000-02-04,22.1875,22.1875,21.625,22.0,1460700,14.011505999999999
2000-02-07,22.75,22.75,21.25,21.625,1188000,13.772673999999999
2000-02-08,21.75,22.3125,21.25,21.5625,1830900,13.732869
2000-02-09,21.5,22.0,21.125,21.25,2175900,13.533841
2000-02-10,21.3125,21.5,20.9375,20.9375,994400,13.334814000000001
2000-02-11,20.9375,21.0,20.75,20.875,589100,13.295009
2000-02-14,20.9375,21.0,20.3125,20.375,1008600,12.976566
2000-02-15,20.5,20.75,20.25,20.25,1528400,12.896955
2000-02-16,20.375,20.5,20.0,20.0,753800,12.737733
2000-02-17,20.3125,20.4375,19.875,19.875,825100,12.658122
2000-02-18,19.875,20.125,19.4375,19.6875,999700,12.538706
2000-02-22,19.5,21.0625,19.125,20.9375,1033700,13.334814000000001
2000-02-23,20.125,20.3125,19.125,19.1875,1171400,12.220263000000001
2000-02-24,19.3125,19.625,18.875,19.375,1551800,12.339678999999999
2000-02-25,19.375,19.625,19.125,19.3125,1306800,12.299874
2000-02-28,19.3125,19.5,19.0,19.0,951300,12.100846
2000-02-29,18.9375,18.9375,18.375,18.5,1970800,11.782403
2000-03-01,18.5,18.6875,18.375,18.6875,926000,11.901819
2000-03-02,18.75,18.75,18.1875,18.25,1121400,11.623181
2000-03-03,18.125,18.1875,17.8125,18.0,1780500,11.46396
2000-03-06,18.0,18.0,17.625,17.875,1451300,11.384349
2000-03-07,17.8125,17.875,17.5625,17.875,1759000,11.384349
