Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.375,24.875,23.1875,24.1875,8772500,12.340558
2000-01-04,24.1875,24.1875,22.9375,23.0625,6223900,11.766579
2000-01-05,23.0,24.25,22.5625,24.25,6259300,12.372446
2000-01-06,23.5625,23.9375,23.375,23.75,4348300,12.117344000000001
2000-01-07,23.75,24.75,23.0625,24.3125,6237000,12.404334
2000-01-10,24.75,24.75,23.625,23.75,5041200,12.117344000000001
2000-01-11,23.875,24.0625,23.1875,23.5,5911200,11.989792999999999
2000-01-12,23.25,23.75,23.1875,23.4375,3047100,11.957905
2000-01-13,23.5,24.1875,23.125,24.0625,4398100,12.276783
2000-01-14,24.1875,24.3125,23.3125,23.5625,4125700,12.021681
2000-01-18,23.75,23.8125,23.3125,23.625,3521800,12.053567999999999
2000-01-19,23.4375,23.8125,22.1875,23.8125,10734600,12.149232000000001
2000-01-20,23.5,23.5,22.625,22.75,4289900,11.60714
2000-01-21,22.9375,22.9375,22.0,22.125,4582900,11.288263
2000-01-24,22.3125,22.75,21.375,21.75,5321200,11.096936
2000-01-25,22.0,22.375,21.0,21.9375,6835900,11.192599000000001
2000-01-26,22.3125,22.5625,21.875,22.0,4873400,11.224487
2000-01-27,22.3125,22.3125,21.0,21.4375,4990600,10.937497
2000-01-28,21.375,21.4375,20.5,20.5,4022300,10.459181
2000-01-31,21.125,21.1875,20.625,20.875,3209200,10.650508
2000-02-01,20.9375,21.25,20.75,20.8125,3220100,10.61862
2000-02-02,21.1875,21.5625,20.875,20.9375,3500800,10.682395
2000-02-03,21.3125,21.75,21.0625,21.75,3994400,11.096936
2000-02-04,22.0,22.1875,21.5625,22.0,3656600,11.224487
2000-02-07,21.9375,22.0,21.5625,21.6875,2328900,11.065047999999999
2000-02-08,21.6875,22.3125,21.1875,21.75,4256000,11.096936
2000-02-09,22.0,22.375,21.375,21.625,4769200,11.033161
2000-02-10,21.5,21.5,20.5,20.75,7464100,10.586732000000001
2000-02-11,20.875,20.875,20.125,20.25,4931100,10.33163
2000-02-14,21.0,22.125,20.875,22.0,7815300,11.224487
2000-02-15,22.1875,22.4375,21.3125,22.25,6145000,11.352038
2000-02-16,21.75,21.875,21.3125,21.4375,2978700,10.937497
2000-02-17,21.6875,21.75,20.8125,20.875,4359400,10.650508
2000-02-18,20.875,21.125,20.6875,21.0,3435800,10.714283
2000-02-22,20.9375,21.125,20.625,20.9375,3404100,10.682395
2000-02-23,21.0,21.1875,20.5625,20.625,3710300,10.522957
2000-02-24,20.6875,20.6875,20.0625,20.375,4472900,10.395406
2000-02-25,20.25,20.8125,20.0,20.125,6374500,10.267855
2000-02-28,20.1875,20.75,20.0625,20.75,3898400,10.586732000000001
2000-02-29,20.1875,24.0,20.1875,21.75,8404900,11.096936
2000-03-01,22.1875,22.1875,20.8125,21.5625,4949900,11.103374
2000-03-02,21.5,21.625,20.75,21.1875,4105800,10.910272
2000-03-03,21.5,21.9375,20.875,20.9375,4009200,10.781537
2000-03-06,21.0,21.5625,21.0,21.5,4060000,11.07119
2000-03-07,21.5625,21.875,20.5,20.6875,5173300,10.652802000000001
2000-03-08,20.8125,21.3125,20.3125,21.25,6247000,10.942455
2000-03-09,21.25,24.0,20.75,22.5,20848600,11.586129
2000-03-10,22.9375,24.375,22.75,24.3125,15724000,12.519456
2000-03-13,23.5,25.0,23.125,24.5,8653200,12.616007000000002
2000-03-14,24.25,24.625,23.0625,23.25,9814700,11.972333
2000-03-15,23.875,26.0,23.5625,25.5,13097700,13.130946
2000-03-16,26.375,26.5625,25.25,25.625,11106000,13.195314000000002
2000-03-17,25.25,25.9375,25.1875,25.8125,5825300,13.291865
2000-03-20,26.0,26.8125,25.75,26.0,5708200,13.388416000000001
2000-03-21,26.375,29.75,26.25,29.75,9113400,15.319436999999999
2000-03-22,28.25,28.875,27.0,27.0,9435600,13.903355
2000-03-23,27.375,27.6875,26.75,26.875,4013100,13.838987
2000-03-24,27.0625,27.6875,26.4375,26.8125,4059000,13.806804000000001
2000-03-27,26.875,27.625,26.75,26.9531,2459900,13.879204000000001
2000-03-28,26.9375,27.375,26.75,26.75,3376600,13.77462
2000-03-29,26.75,27.0,25.8125,26.75,4512000,13.77462
2000-03-30,26.25,26.5625,25.625,26.5625,3775100,13.678069
2000-03-31,26.5,27.1875,26.0,26.0,4227400,13.388416000000001
2000-04-03,25.75,25.8125,25.0,25.0625,5303100,12.905660000000001
2000-04-04,25.4375,26.5,24.3125,25.375,6486700,13.066578999999999
2000-04-05,25.375,26.1875,25.0625,25.5,3387200,13.130946
2000-04-06,25.5625,27.75,25.5625,27.375,5357600,14.096457000000001
2000-04-07,27.75,28.0625,27.5,27.75,5756600,14.289558999999999
2000-04-10,28.0,28.4375,26.875,27.125,5161500,13.967722
2000-04-11,27.0,27.1875,26.5,26.5625,2544200,13.678069
2000-04-12,26.625,27.125,26.4375,26.625,2928300,13.710253
2000-04-13,26.4375,26.5,25.5,25.5,3179000,13.130946
2000-04-14,25.4375,25.5,24.125,24.125,5849700,12.422905
2000-04-17,24.25,24.875,23.9375,24.875,4539900,12.809109
2000-04-18,24.8125,25.1875,24.0,24.0,3070300,12.358538000000001
2000-04-19,25.125,25.75,24.8125,25.75,2913400,13.259681
2000-04-20,25.125,25.3125,24.75,25.0625,2182900,12.905660000000001
2000-04-24,24.9375,25.125,23.625,24.125,2794900,12.422905
2000-04-25,25.625,27.8125,25.4375,26.6875,8261800,13.742435999999998
2000-04-26,26.4375,28.1875,26.375,28.0,5228200,14.418294
2000-04-27,27.5,27.8125,26.875,27.0625,3682000,13.935539000000002
2000-04-28,27.875,27.875,26.25,26.5,3062800,13.645885
2000-05-01,26.9375,27.4375,26.625,27.0625,2822400,13.935539000000002
2000-05-02,27.0625,27.25,26.5,26.5,1778500,13.645885
2000-05-03,26.875,27.3125,26.25,26.75,2327600,13.77462
2000-05-04,27.0,27.5625,26.75,26.75,2327800,13.77462
2000-05-05,26.8125,27.9375,26.8125,27.75,3608600,14.289558999999999
2000-05-08,27.5625,28.5,27.5,28.125,4668800,14.482660999999998
2000-05-09,28.25,28.4375,27.4375,28.0,3364500,14.418294
2000-05-10,27.875,27.9375,27.0625,27.5,3362200,14.160824
2000-05-11,27.75,29.3125,25.25,25.5,11362000,13.130946
2000-05-12,26.125,27.5625,25.75,27.0,6973200,13.903355
2000-05-15,26.9375,27.375,25.75,26.625,4014700,13.710253
2000-05-16,26.9375,27.5625,26.8125,27.25,2671100,14.03209
2000-05-17,27.1875,27.3125,26.375,27.125,2265700,13.967722
2000-05-18,27.25,27.5,26.5,26.8125,2290500,13.806804000000001
2000-05-19,26.375,26.4375,25.75,26.0,2352300,13.388416000000001
2000-05-22,25.25,25.75,25.0,25.625,2435600,13.195314000000002
2000-05-23,25.875,25.875,25.1875,25.625,1706200,13.195314000000002
2000-05-24,25.25,25.8125,25.0625,25.75,3384900,13.259681
2000-05-25,25.375,26.125,25.3125,26.0,2055500,13.388416000000001
2000-05-26,25.5625,25.625,25.3125,25.4375,1492900,13.098763
2000-05-30,26.8125,26.875,26.25,26.75,3581700,13.77462
2000-05-31,26.9375,27.1875,26.625,27.125,2969000,14.07294
2000-06-01,27.125,27.625,26.9375,27.5,2057900,14.267497
2000-06-02,27.75,28.3125,27.5,27.5625,2655300,14.299923000000001
2000-06-05,27.5,28.3125,27.375,27.375,2392300,14.202645
2000-06-06,27.125,27.25,25.75,26.0625,5443400,13.521695999999999
2000-06-07,26.625,26.75,26.375,26.5,2141000,13.748679000000001
2000-06-08,26.8125,26.8125,26.0,26.375,1670700,13.683826999999999
2000-06-09,26.5,26.625,25.375,25.875,2006600,13.424418
2000-06-12,26.0,26.125,25.6875,25.875,1256400,13.424418
2000-06-13,25.8125,26.4375,25.75,26.375,1678200,13.683826999999999
2000-06-14,26.375,26.5,25.5625,25.625,1473700,13.294713
2000-06-15,25.5625,25.75,25.0,25.3125,2771900,13.132582999999999
2000-06-16,22.5,22.5,20.25,20.625,23061800,10.700623
2000-06-19,20.6875,20.75,20.0625,20.75,11711000,10.765475
2000-06-20,21.125,21.25,20.5,20.9375,4886400,10.862753999999999
2000-06-21,20.75,20.875,20.1875,20.25,4358700,10.506066
2000-06-22,20.5625,20.5625,20.125,20.25,3533300,10.506066
2000-06-23,20.1875,20.25,19.8125,20.0,6064000,10.376362
2000-06-26,20.125,20.234301000000002,19.75,19.8125,3489600,10.279083
2000-06-27,20.125,20.1875,19.0,19.125,9184900,9.922396
2000-06-28,19.25,20.125,19.25,20.0,5771000,10.376362
2000-06-29,20.0,20.0,17.75,18.5625,3661300,9.630561
2000-06-30,19.0,20.859301000000002,18.5,20.75,9477900,10.765475
2000-07-03,20.5,20.546801000000002,19.8125,20.375,2391700,10.570917999999999
2000-07-05,20.375,20.5625,19.875,20.25,3781200,10.506066
2000-07-06,20.125,20.1875,19.5,19.6875,2512500,10.214231
2000-07-07,19.875,20.375,19.75,20.25,4905600,10.506066
2000-07-10,20.3125,20.5625,20.0,20.375,2723100,10.570917999999999
2000-07-11,20.375,20.4375,19.75,20.125,2583600,10.441214
2000-07-12,19.75,20.125,19.6875,20.0,3437300,10.376362
2000-07-13,19.9375,20.0,19.8125,20.0,2204500,10.376362
2000-07-14,19.9375,20.375,19.75,20.375,3902000,10.570917999999999
2000-07-17,20.0,20.125,19.75,19.8437,2713100,10.295271000000001
2000-07-18,19.9375,19.9375,19.0625,19.125,4429900,9.922396
2000-07-19,19.1875,19.25,18.6875,18.875,3873400,9.792691
2000-07-20,18.875,19.4375,18.75,19.375,3484600,10.0521
2000-07-21,19.375,19.4375,18.875,19.0,2300700,9.857544
2000-07-24,18.9375,19.0,18.5625,18.8125,2850100,9.760264999999999
2000-07-25,18.5625,18.625,18.0,18.1875,4827800,9.436003999999999
2000-07-26,17.0,17.0,14.8125,15.25,32942200,7.911975999999999
2000-07-27,15.5,15.5625,14.75,15.1875,14459600,7.87955
2000-07-28,15.0,15.0,14.5625,14.9375,8559200,7.749845
2000-07-31,15.0625,15.4375,14.8125,15.0625,7669900,7.814697
